participant_id	original_participant_id	species	sex
sub-mouse+AAYYT	sub-mouse_AAYYT	Mus musculus	F
sub-mouse+AEJGZ	sub-mouse_AEJGZ	Mus musculus	M
sub-mouse+ALHXK	sub-mouse_ALHXK	Mus musculus	M
sub-mouse+ANUPT	sub-mouse_ANUPT	Mus musculus	M
sub-mouse+APLSV	sub-mouse_APLSV	Mus musculus	F
sub-mouse+AVLEY	sub-mouse_AVLEY	Mus musculus	M
sub-mouse+AWOAY	sub-mouse_AWOAY	Mus musculus	F
sub-mouse+AXEMD	sub-mouse_AXEMD	Mus musculus	F
sub-mouse+AYGIX	sub-mouse_AYGIX	Mus musculus	M
sub-mouse+AZZAO	sub-mouse_AZZAO	Mus musculus	M
sub-mouse+BAPWW	sub-mouse_BAPWW	Mus musculus	M
sub-mouse+BFVKP	sub-mouse_BFVKP	Mus musculus	M
sub-mouse+BICAU	sub-mouse_BICAU	Mus musculus	F
sub-mouse+BSSDD	sub-mouse_BSSDD	Mus musculus	M
sub-mouse+BTYFA	sub-mouse_BTYFA	Mus musculus	F
sub-mouse+BULZF	sub-mouse_BULZF	Mus musculus	F
sub-mouse+BVPYH	sub-mouse_BVPYH	Mus musculus	F
sub-mouse+BXLFB	sub-mouse_BXLFB	Mus musculus	F
sub-mouse+BXMFE	sub-mouse_BXMFE	Mus musculus	F
sub-mouse+CAASK	sub-mouse_CAASK	Mus musculus	F
sub-mouse+CCAHV	sub-mouse_CCAHV	Mus musculus	F
sub-mouse+CCRZS	sub-mouse_CCRZS	Mus musculus	M
sub-mouse+CIEXQ	sub-mouse_CIEXQ	Mus musculus	M
sub-mouse+CIQQT	sub-mouse_CIQQT	Mus musculus	F
sub-mouse+CNQDR	sub-mouse_CNQDR	Mus musculus	M
sub-mouse+CPDRQ	sub-mouse_CPDRQ	Mus musculus	F
sub-mouse+CQEQX	sub-mouse_CQEQX	Mus musculus	F
sub-mouse+CSHED	sub-mouse_CSHED	Mus musculus	F
sub-mouse+CSPPC	sub-mouse_CSPPC	Mus musculus	M
sub-mouse+CSTGT	sub-mouse_CSTGT	Mus musculus	M
sub-mouse+CTDSZ	sub-mouse_CTDSZ	Mus musculus	M
sub-mouse+CTOOX	sub-mouse_CTOOX	Mus musculus	F
sub-mouse+CUEES	sub-mouse_CUEES	Mus musculus	M
sub-mouse+CWKKR	sub-mouse_CWKKR	Mus musculus	F
sub-mouse+CWQZH	sub-mouse_CWQZH	Mus musculus	F
sub-mouse+DAEWZ	sub-mouse_DAEWZ	Mus musculus	M
sub-mouse+DAQHB	sub-mouse_DAQHB	Mus musculus	M
